period,test_year,model,ticker,weight
5,2016,LASSO,ED,0.05891550
5,2016,LASSO,T,0.08819994
5,2016,LASSO,VZ,0.06651276
5,2016,LASSO,NEM,0.00000003
5,2016,BSS,F,0.00000175
5,2016,BSS,CAT,0.00000045
5,2016,BSS,DIS,0.05416743
5,2016,BSS,MCD,0.08528424
5,2016,BSS,KO,0.00000332
5,2016,BSS,PEP,0.11627750
5,2016,BSS,WMT,0.08699215
5,2016,BSS,C,0.00000062
5,2016,BSS,WFC,0.40683559
5,2016,BSS,JPM,0.00000527
5,2016,BSS,AAPL,0.00000088
5,2016,BSS,IBM,0.00000024
5,2016,BSS,PFE,0.00012263
5,2016,BSS,JNJ,0.00079706
5,2016,BSS,XOM,0.00000019
5,2016,BSS,MRO,0.00000006
5,2016,BSS,ED,0.10678378
5,2016,BSS,T,0.07643969
5,2016,BSS,VZ,0.06628573
5,2016,BSS,NEM,0.00000142
